,lot_area,street,land_cont,neighborhood,cond_1,cond_2,bldg_type,style,overall_cond,yr_built,yr_remodeled,roof_style,exter_cond,foundation,bsmt_cond,bsmt_fin_1,bsmt_fin_2,bsmt_sf,heat,cent_air,gr_liv_area,full_bath,half_bath,bedrooms_gr,kitchen,kitch_qual,fireplaces,garage_type,garage_car_size,paved_drive,year_sold,has_pool
44,11200,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,TA,CBlock,TA,Rec,Unf,1040.0,GasA,Y,1040,1,0,3,1,TA,0,Detchd,1,Y,2008,0
45,9670,Pave,HLS,Crawfor,Norm,Norm,1Fam,2Story,6,1935,1950,Gable,TA,PConc,Fa,LwQ,Unf,608.0,GasA,Y,1873,1,1,4,1,TA,2,Detchd,2,Y,2008,0
46,10998,Pave,Lvl,Edwards,Norm,Norm,1Fam,Fin,5,1941,1960,Gable,TA,CBlock,TA,LwQ,BLQ,984.0,GasA,Y,1604,2,0,3,1,TA,0,Detchd,2,Y,2009,0
47,7200,Pave,HLS,Crawfor,Norm,Norm,1Fam,2Story,6,1931,2000,Gable,Fa,BrkTil,TA,Unf,Unf,776.0,GasA,Y,1502,1,1,3,1,TA,1,Attchd,1,P,2008,0
48,9920,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,1954,1954,Gable,TA,CBlock,TA,Rec,LwQ,1056.0,GasA,Y,1063,1,0,3,1,TA,0,Attchd,1,Y,2010,0
49,2448,Pave,Lvl,NridgHt,Norm,Norm,Twnhs,2Story,5,2003,2004,Gable,TA,PConc,TA,Unf,Unf,764.0,GasA,Y,1626,2,1,2,1,Gd,0,BuiltIn,2,Y,2008,0
50,2998,Pave,Lvl,Somerst,Norm,Norm,TwnhsE,2Story,5,2000,2000,Gable,TA,PConc,TA,GLQ,Unf,756.0,GasA,Y,1524,2,1,2,1,Gd,0,Detchd,2,Y,2006,0
51,7804,Pave,Lvl,SWISU,Norm,Norm,1Fam,Fin,3,1928,1950,Gable,TA,BrkTil,TA,BLQ,Unf,1122.0,GasA,Y,1981,2,0,4,1,Gd,2,Detchd,2,Y,2009,0
52,16692,Pave,Lvl,,RRA,Norm,1Fam,2Story,5,1978,1978,Gable,TA,CBlock,TA,BLQ,LwQ,1392.0,GasA,Y,2784,3,1,5,1,Gd,2,Attchd,2,Y,2006,1
53,1476,Pave,Lvl,MeadowV,Norm,Norm,Twnhs,2Story,7,1970,1970,Gable,TA,CBlock,TA,GLQ,Unf,546.0,GasA,Y,1092,1,1,3,1,TA,0,None,0,Y,2010,0
54,10170,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,1951,1951,Hip,TA,CBlock,TA,Unf,Unf,216.0,GasA,Y,1575,1,1,2,1,Gd,1,Attchd,2,Y,2006,0
55,9364,Pave,Lvl,Sawyer,Norm,Norm,1Fam,2Story,7,1969,1969,Gable,TA,CBlock,TA,ALQ,Unf,663.0,GasA,Y,1352,1,1,4,1,TA,0,Attchd,1,Y,2010,0
56,2544,Pave,Lvl,Somerst,Norm,Norm,Twnhs,2Story,5,2004,2005,Gable,TA,PConc,TA,GLQ,ALQ,600.0,GasA,Y,1200,2,1,2,1,Gd,0,Detchd,2,Y,2010,0
57,9888,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,1954,1975,Gable,Gd,CBlock,TA,BLQ,Unf,936.0,GasA,Y,936,1,0,2,1,TA,0,Attchd,1,Y,2006,0
58,7942,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,7,1953,1953,Hip,TA,CBlock,TA,Rec,ALQ,1040.0,GasA,Y,1040,1,0,3,1,TA,0,Attchd,1,Y,2007,0
59,15038,Pave,Lvl,Gilbert,Norm,Norm,1Fam,2Story,5,1996,1996,Gable,TA,PConc,TA,Rec,Unf,916.0,GasA,Y,1636,2,1,3,1,TA,1,Attchd,2,Y,2008,0
60,11764,Pave,Lvl,NoRidge,Norm,Norm,1Fam,2Story,7,1999,2007,Gable,TA,PConc,TA,GLQ,Unf,1152.0,GasA,Y,2270,2,1,4,1,Gd,1,Attchd,3,Y,2010,0
61,9000,Pave,Lvl,Somerst,Norm,Norm,1Fam,2Story,5,2007,2007,Gable,TA,PConc,TA,GLQ,Unf,1184.0,GasA,Y,2610,2,1,4,1,Ex,1,BuiltIn,2,Y,2007,0
62,20062,Pave,Low,ClearCr,Norm,Norm,1Fam,1Story,7,1977,2001,Hip,Gd,CBlock,TA,ALQ,Unf,1420.0,GasA,Y,1483,1,1,1,1,TA,2,Attchd,2,Y,2010,0
63,7308,Pave,Lvl,OldTown,Artery,Norm,1Fam,Fin,5,1920,1950,Gable,Fa,BrkTil,TA,Rec,Unf,936.0,GasA,N,1740,1,0,2,1,Ex,1,Detchd,1,N,2008,0
64,8750,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,1955,1955,Gable,TA,CBlock,TA,Rec,LwQ,1382.0,GasA,Y,1382,1,0,3,1,Gd,0,Attchd,1,Y,2009,0
65,8402,Pave,Lvl,Mitchel,RRA,Norm,1Fam,1Story,5,2007,2007,Gable,TA,PConc,TA,ALQ,Unf,1120.0,GasA,Y,1120,1,0,3,1,TA,0,None,0,Y,2007,0
66,4000,Pave,Lvl,Crawfor,Norm,Norm,1Fam,2Story,8,1930,1995,Gable,TA,BrkTil,TA,GLQ,Unf,531.0,GasA,Y,1098,1,0,2,1,TA,1,Detchd,1,Y,2007,0
67,3363,Pave,Lvl,Edwards,Norm,Norm,TwnhsE,2Story,5,2004,2004,Gable,TA,PConc,TA,Unf,Unf,976.0,GasA,Y,1708,2,0,3,1,Gd,0,Detchd,2,Y,2006,0
68,13615,Pave,HLS,NridgHt,Norm,Norm,1Fam,1Story,5,2006,2006,Hip,TA,PConc,TA,Unf,Unf,1802.0,GasA,Y,1802,2,1,3,1,Ex,1,Attchd,3,Y,2007,0
69,3013,Pave,Lvl,Blmngtn,Norm,Norm,TwnhsE,1Story,5,2005,2005,Gable,TA,PConc,TA,GLQ,Unf,1362.0,GasA,Y,1506,2,0,2,1,Gd,1,Attchd,2,Y,2006,0
70,17485,Pave,Lvl,Edwards,Norm,Norm,1Fam,1Story,5,2009,2010,Gable,TA,PConc,TA,GLQ,Unf,1508.0,GasA,Y,1508,1,0,1,1,Gd,2,Attchd,2,Y,2010,0
71,23730,Pave,Lvl,Mitchel,Norm,Norm,1Fam,1Story,5,1996,1997,Gable,TA,PConc,TA,GLQ,Unf,1840.0,GasA,Y,2032,3,0,3,1,Gd,0,Attchd,3,Y,2008,0
72,8910,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,1959,1959,Hip,TA,CBlock,TA,ALQ,Unf,655.0,GasA,Y,1194,1,0,3,1,TA,1,BuiltIn,2,Y,2006,0
73,2522,Pave,Lvl,Edwards,Norm,Norm,Twnhs,2Story,5,2004,2004,Gable,TA,PConc,TA,Unf,Unf,970.0,GasA,Y,1709,2,0,3,1,Gd,0,Detchd,2,Y,2006,0
74,8688,Pave,Lvl,Somerst,Norm,Norm,1Fam,1Story,5,2005,2005,Gable,TA,PConc,TA,Unf,Unf,1616.0,GasA,Y,1616,2,0,3,1,Gd,0,Attchd,3,Y,2006,0
75,6291,Grvl,Lvl,IDOTRR,RRN,Norm,1Fam,1Story,6,1930,1950,Gable,Gd,BrkTil,TA,Unf,Unf,768.0,GasA,Y,768,1,0,1,1,TA,0,Detchd,2,N,2008,0
76,17529,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,1924,1950,Gable,TA,BrkTil,TA,Unf,Unf,872.0,GasA,N,872,1,0,2,1,Fa,1,Detchd,1,N,2006,0
77,6324,Pave,Lvl,BrkSide,RRA,RRAe,1Fam,1Story,6,1927,1950,Gable,TA,BrkTil,TA,Unf,Unf,520.0,GasA,N,520,1,0,1,1,Fa,0,Detchd,1,Y,2008,0
78,11600,Pave,Lvl,NAmes,RRA,Norm,Duplex,2Story,5,1960,1960,Gable,TA,CBlock,TA,Rec,Unf,1105.0,GasA,Y,2274,2,0,5,2,TA,0,Detchd,2,Y,2010,0
79,7288,Pave,Lvl,IDOTRR,Artery,Norm,1Fam,Fin,7,1925,2003,Gable,Gd,BrkTil,Fa,Unf,Unf,936.0,GasA,Y,1601,2,0,3,1,TA,0,None,0,N,2007,0
80,4571,Pave,Lvl,OldTown,Norm,Norm,1Fam,2Story,7,1910,1950,Gable,TA,BrkTil,TA,BLQ,Unf,616.0,GasA,Y,1232,1,0,3,1,TA,0,Detchd,2,Y,2007,0
81,17423,Pave,Lvl,StoneBr,Norm,Norm,1Fam,1Story,5,2008,2009,Hip,TA,PConc,TA,GLQ,Unf,2216.0,GasA,Y,2234,2,0,1,1,Ex,1,Attchd,3,Y,2009,0
82,12665,Pave,Lvl,OldTown,Artery,Norm,1Fam,Fin,8,1915,1950,Gable,TA,BrkTil,TA,Unf,Unf,876.0,GasA,Y,1416,1,1,4,1,TA,1,Detchd,3,Y,2008,0
83,9000,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,7,1971,2006,Gable,Gd,CBlock,TA,ALQ,Unf,864.0,GasA,Y,864,1,0,3,1,TA,0,Detchd,2,Y,2009,0
84,4500,Pave,Lvl,Mitchel,Norm,Norm,TwnhsE,1Story,5,1997,1997,Hip,TA,PConc,TA,GLQ,Unf,1189.0,GasA,Y,1189,2,0,2,1,TA,0,Attchd,2,Y,2008,0
85,6373,Pave,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,5,2006,2006,Hip,TA,PConc,Gd,GLQ,Unf,1666.0,GasA,Y,1666,2,0,2,1,Gd,1,Attchd,2,Y,2006,0
86,10083,Pave,Lvl,SawyerW,Norm,Norm,1Fam,1Story,5,2003,2003,Gable,TA,PConc,TA,GLQ,Unf,1176.0,GasA,Y,1200,2,0,2,1,Gd,0,Attchd,2,Y,2009,0
87,13300,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,7,1956,2000,Hip,TA,CBlock,TA,Rec,Unf,928.0,GasA,Y,928,1,0,2,1,TA,0,Attchd,1,Y,2007,0
88,9600,Pave,Lvl,,RRA,Norm,1Fam,1Story,5,1969,1969,Gable,TA,CBlock,TA,ALQ,Rec,1288.0,GasA,Y,1336,2,0,3,1,TA,1,Attchd,2,Y,2009,0
89,3215,Pave,Lvl,Somerst,Norm,Norm,TwnhsE,2Story,5,2004,2004,Gable,TA,PConc,TA,GLQ,Unf,600.0,GasA,Y,1200,2,1,2,1,Gd,0,Detchd,2,Y,2010,0
90,11104,Pave,Lvl,,Norm,Norm,1Fam,SLvl,6,1969,1969,Gable,TA,CBlock,TA,GLQ,Unf,1427.0,GasA,Y,1427,2,0,4,1,TA,0,Attchd,2,Y,2008,0
91,15295,Pave,Lvl,CollgCr,Norm,Norm,1Fam,2Story,5,1996,2002,Gable,TA,PConc,TA,GLQ,Unf,860.0,GasA,Y,1992,2,1,3,1,Gd,2,Attchd,2,Y,2007,0
92,9109,Pave,Lvl,SawyerW,RRA,Norm,1Fam,2Story,5,1994,1994,Gable,TA,PConc,TA,LwQ,GLQ,754.0,GasA,Y,1540,2,1,3,1,Gd,0,Attchd,2,Y,2009,0
93,7018,Pave,Bnk,SawyerW,Norm,Norm,Duplex,1Story,5,1979,1979,Gable,TA,Other,None,None,None,0.0,GasA,Y,1535,2,0,4,2,TA,0,Attchd,2,Y,2009,0
94,14112,Pave,Lvl,NAmes,Norm,Norm,1Fam,SLvl,7,1964,1964,Hip,TA,PConc,TA,GLQ,Unf,1152.0,GasA,Y,1152,1,0,3,1,TA,1,Attchd,2,Y,2010,0
95,3523,Pave,Lvl,Somerst,Norm,Norm,TwnhsE,1Story,5,2006,2007,Gable,TA,PConc,TA,GLQ,Unf,1141.0,GasA,Y,1151,2,0,2,1,Gd,0,Attchd,2,Y,2007,0
96,15312,Pave,Lvl,Sawyer,Norm,Norm,1Fam,SLvl,5,1960,1960,Hip,TA,CBlock,TA,BLQ,Unf,1138.0,GasA,Y,1138,1,0,3,1,TA,1,Attchd,2,Y,2009,0
97,7450,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,1956,1956,Hip,TA,CBlock,TA,Rec,LwQ,894.0,GasA,Y,1074,1,0,2,1,Gd,1,Detchd,2,Y,2007,0
98,7313,Pave,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,5,2005,2005,Hip,TA,PConc,TA,GLQ,Unf,1561.0,GasA,Y,1561,2,0,2,1,Ex,1,Attchd,2,Y,2007,0
99,10019,Pave,Lvl,NoRidge,Norm,Norm,1Fam,2Story,5,1995,1995,Hip,TA,PConc,TA,ALQ,Unf,1342.0,GasA,Y,2726,2,1,4,1,Gd,1,Attchd,3,Y,2006,0
100,15401,Pave,HLS,StoneBr,Norm,Norm,1Fam,1Story,5,2004,2004,Hip,TA,PConc,TA,GLQ,Unf,1884.0,GasA,Y,1884,2,0,2,1,Ex,1,Attchd,3,Y,2008,0
101,9098,Pave,Lvl,Edwards,Norm,Norm,1Fam,1Story,7,1920,2002,Gable,TA,BrkTil,TA,ALQ,Unf,528.0,GasA,Y,605,1,0,2,1,TA,0,None,0,N,2007,0
102,16280,Pave,Lvl,Veenker,Norm,Norm,1Fam,1Story,9,1976,2007,Gable,Gd,CBlock,Gd,GLQ,Rec,1426.0,GasA,Y,1671,3,0,3,1,Ex,1,Attchd,2,Y,2008,0
103,9392,Pave,Lvl,IDOTRR,Norm,Norm,1Fam,1Story,3,1900,1950,Other,Fa,CBlock,TA,Unf,Unf,245.0,GasA,N,797,1,0,2,1,TA,0,None,0,N,2009,0
104,12209,Pave,Lvl,Mitchel,Norm,Norm,1Fam,2Story,5,2001,2002,Gable,TA,PConc,TA,ALQ,Unf,804.0,GasA,Y,1961,2,1,3,1,Gd,1,BuiltIn,2,Y,2009,0
105,13110,Pave,Lvl,,RRA,RRAe,2fmCon,1Story,6,1972,1972,Gable,TA,CBlock,TA,GLQ,Unf,1153.0,GasA,Y,1193,2,0,2,1,TA,0,Attchd,2,Y,2006,0
106,2651,Pave,Lvl,Somerst,Norm,Norm,Twnhs,2Story,5,2000,2000,Gable,TA,PConc,TA,GLQ,Unf,673.0,GasA,Y,1382,2,1,3,1,Gd,0,Detchd,2,Y,2006,0
107,8520,Pave,Lvl,OldTown,Artery,Norm,1Fam,Fin,7,1916,1950,Gable,Gd,BrkTil,TA,Rec,LwQ,714.0,GasW,N,2526,2,0,5,1,Gd,1,Detchd,1,Y,2007,0
108,39384,Pave,Low,NAmes,Norm,Norm,1Fam,1Story,6,1957,1957,Gable,TA,CBlock,TA,ALQ,Unf,1705.0,GasA,Y,1390,1,1,1,1,Ex,2,Attchd,2,Y,2006,0
109,2628,Pave,Lvl,NridgHt,Norm,Norm,Twnhs,2Story,5,2003,2003,Gable,TA,PConc,TA,Unf,Unf,764.0,GasA,Y,1626,2,1,2,1,Gd,0,BuiltIn,2,Y,2010,0
110,6406,Pave,Lvl,OldTown,Norm,Norm,1Fam,2Story,6,1939,1950,Gable,TA,BrkTil,TA,ALQ,Unf,690.0,GasA,Y,1558,1,1,3,1,TA,1,Detchd,2,Y,2009,0
111,12342,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,1960,1978,Hip,TA,CBlock,TA,Unf,Unf,978.0,GasA,Y,1422,1,0,3,1,TA,1,Attchd,1,Y,2007,0
112,6240,Pave,Lvl,BrkSide,Norm,Norm,1Fam,Fin,7,1930,1992,Gable,TA,PConc,TA,Unf,Unf,1078.0,GasA,Y,1573,2,0,3,1,TA,1,Detchd,2,P,2008,0
113,10000,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,1962,1962,Hip,TA,CBlock,TA,Unf,Unf,1116.0,GasA,Y,1116,1,1,3,1,TA,0,Attchd,2,Y,2010,0
114,9000,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,3,1947,1950,Gable,TA,Other,None,None,None,0.0,GasA,N,660,1,0,2,1,Fa,0,None,0,N,2009,0
115,11088,Pave,Lvl,,Norm,Norm,1Fam,1Story,5,1978,1998,Gable,TA,PConc,TA,ALQ,Unf,1140.0,GasA,Y,1707,2,0,3,1,TA,1,Attchd,2,Y,2009,0
116,17755,Pave,Lvl,Edwards,Norm,Norm,1Fam,1Story,4,1959,1959,Gable,TA,CBlock,TA,BLQ,Unf,1466.0,GasA,Y,1466,1,1,3,1,Fa,2,Attchd,2,Y,2006,0
117,4765,Pave,Lvl,Somerst,Norm,Norm,TwnhsE,1Story,5,2000,2000,Hip,TA,PConc,TA,GLQ,Unf,1614.0,GasA,Y,1638,2,0,2,1,Ex,1,Attchd,2,Y,2008,0
118,10532,Pave,Lvl,ClearCr,Norm,Norm,1Fam,1Story,3,1960,1960,Other,TA,CBlock,TA,Rec,Unf,988.0,GasA,Y,1721,2,0,3,1,TA,2,Basment,2,Y,2008,0
119,15426,Pave,Lvl,CollgCr,Norm,Norm,1Fam,2Story,5,1997,1997,Gable,TA,PConc,TA,GLQ,Unf,928.0,GasA,Y,1764,2,1,3,1,Gd,0,Attchd,2,Y,2009,0
120,13907,Pave,Lvl,Edwards,Norm,Norm,1Fam,1Story,6,1940,1969,Gable,TA,CBlock,TA,BLQ,Unf,996.0,GasA,Y,996,1,0,3,1,TA,1,None,0,Y,2008,0
121,8750,Pave,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,1956,1956,Gable,TA,CBlock,TA,Rec,BLQ,1202.0,GasA,Y,1202,1,0,3,1,TA,0,Attchd,1,Y,2009,0
122,9945,Pave,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,1961,1961,Hip,TA,CBlock,TA,Rec,Unf,988.0,GasA,Y,988,1,0,3,1,TA,0,Detchd,2,Y,2007,0
