Id,lot_area,street,land_cont,lot_config,neighborhood,cond_1,cond_2,bldg_type,style,overall_qual,overall_cond,yr_built,yr_remodeled,roof_style,roof_mater,exter_1,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_expo,bsmt_fin_1,bsmt_fin_1_sf,bsmt_fin_2,bsmt_fin_2_sf,bsmt_sf,heat,cent_air,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedrooms_gr,kitchen,kitch_qual,tot_rooms_gr,functional,fireplaces,garage_type,garage_car_size,garage_cond,paved_drive,porch_1,porch_2,porch_3,porch_4,porch_5,misc_val,year_sold,ms_subclass,lot_shape,sale_price,has_pool,functional_mapped,bsmt_baths,porch_sf
1044,1680,Pave,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,483.0,GasA,Y,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,Detchd,1,TA,Y,0,0,0,0,0,0,2008,160,Reg,85400,0,6,0.0,0
2752,7488,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,1208.0,GasA,Y,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Attchd,2,TA,Y,105,58,0,0,0,0,2006,20,IR1,183600,0,6,0.0,163
807,26400,Pave,Bnk,FR2,SawyerW,RRA,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,None,Gd,TA,PConc,None,None,,None,0.0,None,0.0,0.0,GasA,Y,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,Attchd,2,TA,P,0,0,0,0,0,0,2009,70,Reg,131000,0,3,0.0,0
1177,2645,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,960.0,GasA,Y,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Detchd,2,TA,Y,169,0,0,0,0,0,2008,160,Reg,200000,0,6,1.0,169
1480,9627,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1351.0,GasA,Y,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,2,TA,Y,0,50,0,0,0,0,2008,20,Reg,193000,0,6,0.0,50
324,10114,Pave,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,GasA,Y,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2,TA,Y,0,0,0,0,0,0,2010,20,Reg,173500,0,6,0.0,0
1311,4571,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,GasA,N,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,Detchd,3,Fa,Y,0,0,96,0,0,0,2008,70,Reg,98000,0,6,0.0,96
770,8816,Pave,Lvl,Corner,Sawyer,RRA,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,None,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,1121.0,GasA,Y,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,2,TA,Y,0,80,0,0,0,0,2009,20,Reg,139000,0,6,1.0,80
2063,8197,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,GasA,Y,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,Attchd,2,TA,Y,138,0,0,0,0,0,2007,20,Reg,143500,0,6,0.0,138
69,8640,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,756.0,GasA,Y,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Attchd,2,TA,Y,169,45,0,0,0,0,2010,60,Reg,215200,0,6,0.0,214
2062,8724,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,None,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,894.0,GasA,Y,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Attchd,2,TA,Y,0,0,0,0,0,0,2007,20,Reg,129000,0,6,0.0,0
351,5664,Pave,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,1501.0,GasA,Y,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Attchd,2,TA,Y,212,59,0,0,0,0,2009,120,IR1,278000,0,6,1.0,271
2393,12867,Pave,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,None,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,GasA,Y,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Attchd,2,TA,Y,243,142,0,0,0,0,2006,60,IR1,344133,0,6,0.0,385
12,7980,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,1168.0,GasA,Y,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,Attchd,2,TA,Y,483,21,0,0,0,500,2010,20,IR1,185000,0,6,1.0,504
2339,34650,Pave,Bnk,Inside,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,1056.0,GasA,N,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,Attchd,2,TA,Y,264,0,0,0,0,0,2006,190,Reg,145000,0,6,1.0,264
624,10573,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,1453.0,GasA,Y,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,Attchd,2,TA,Y,0,49,0,0,288,0,2009,20,IR1,187500,0,6,1.0,337
86,8450,Pave,Lvl,Inside,Sawyer,RRA,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,894.0,GasA,Y,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Detchd,1,TA,Y,416,144,0,0,0,0,2010,20,Reg,138500,0,6,1.0,560
1534,11700,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,Fin,5,6,1937,1995,Gable,CompShg,WdShing,None,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,942.0,GasA,Y,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Detchd,1,TA,Y,0,40,0,0,0,0,2008,50,IR1,198000,0,4,0.0,40
2243,8250,Pave,Lvl,Inside,IDOTRR,RRA,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,None,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,GasA,N,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,None,0,,N,0,0,133,0,0,0,2007,190,Reg,119600,0,6,0.0,133
1957,8064,Pave,Lvl,Corner,NAmes,Artery,Norm,1Fam,Fin,5,7,1949,2006,Gable,CompShg,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,GasA,Y,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Detchd,2,TA,Y,0,0,0,0,0,2000,2007,50,Reg,122900,0,6,0.0,0
380,9600,Pave,Lvl,Inside,,Fa,Norm,1Fam,1Story,8,5,1981,1981,Hip,Other,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,2524.0,GasA,Y,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,2,TA,Y,474,120,0,0,0,0,2009,20,Reg,278000,0,6,1.0,594
2860,11435,Pave,HLS,Corner,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,None,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,GasA,Y,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Detchd,2,TA,Y,0,0,0,0,0,0,2006,70,IR1,230000,0,6,0.0,0
2517,9549,Pave,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,1494.0,GasA,Y,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Attchd,2,TA,Y,0,30,0,0,216,0,2006,120,IR1,270000,0,6,1.0,246
1933,10950,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,948.0,GasA,Y,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,2,TA,N,0,48,0,0,0,0,2007,20,Reg,125000,0,6,0.0,48
820,10637,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,1705.0,GasA,Y,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Attchd,3,TA,Y,208,44,0,0,0,0,2009,20,Reg,297000,0,6,1.0,252
675,9000,Pave,HLS,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Other,Tar&Grv,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,0.0,160.0,GasA,Y,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Basment,1,TA,Y,0,28,64,0,0,0,2009,20,IR1,113500,0,6,0.0,92
2910,2665,Pave,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,None,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,173.0,757.0,GasA,Y,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,Attchd,1,TA,Y,104,26,0,0,0,0,2006,160,Reg,127000,0,6,0.0,130
21,11751,Pave,Lvl,Inside,,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1844.0,GasA,Y,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,Attchd,2,TA,Y,0,122,0,0,0,0,2010,20,IR1,190000,0,6,0.0,122
1873,9600,Pave,Lvl,Inside,,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,0.0,1242.0,GasA,Y,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,2,TA,Y,0,0,0,0,0,0,2007,20,Reg,175500,0,6,0.0,0
2125,8428,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,None,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,0.0,990.0,GasA,Y,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1,TA,Y,256,0,0,0,0,0,2007,20,IR2,146000,0,6,1.0,256
1489,9937,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,None,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,290.0,1256.0,GasA,Y,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,Attchd,1,TA,Y,736,68,0,0,0,0,2008,20,Reg,147500,0,6,1.0,804
2383,13891,Pave,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,None,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,Unf,0.0,2076.0,GasA,Y,2076,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Attchd,3,TA,Y,216,229,0,0,0,0,2006,20,Reg,465000,0,6,1.0,445
983,9101,Pave,Lvl,Corner,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,BrkFace,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,0.0,1097.0,GasA,Y,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,Attchd,2,TA,Y,303,30,0,0,0,0,2009,85,IR1,165500,0,6,1.0,333
1325,12150,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,Fin,5,5,1954,1954,Gable,CompShg,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1050.0,GasA,N,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,Attchd,1,TA,Y,0,0,0,0,0,0,2008,50,Reg,131500,0,6,0.0,0
1378,11200,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,1040.0,GasA,Y,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1,TA,Y,0,0,0,0,0,0,2008,20,Reg,129500,0,6,1.0,0
1537,9670,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stone,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,0.0,608.0,GasA,Y,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Detchd,2,TA,Y,0,0,207,0,0,0,2008,70,IR1,257076,0,6,0.0,207
905,10998,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,420.0,984.0,GasA,Y,1604,0.0,0.0,2,0,3,1,TA,6,Min2,0,Detchd,2,TA,Y,0,68,0,0,0,0,2009,50,Reg,117000,0,4,0.0,68
1532,7200,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,None,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,776.0,GasA,Y,1502,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,1,TA,P,0,0,112,0,0,0,2008,70,Reg,149000,0,6,0.0,112
132,9920,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,290.0,1056.0,GasA,Y,1063,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1,TA,Y,0,0,164,0,0,0,2010,20,Reg,128000,0,6,1.0,164
1078,2448,Pave,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,764.0,GasA,Y,1626,0.0,0.0,2,1,2,1,Gd,6,Typ,0,BuiltIn,2,TA,Y,0,27,0,0,0,0,2008,160,Reg,155000,0,6,0.0,27
2511,2998,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,0.0,756.0,GasA,Y,1524,0.0,0.0,2,1,2,1,Gd,4,Typ,0,Detchd,2,TA,Y,0,32,0,0,0,0,2006,160,Reg,166000,0,6,0.0,32
912,7804,Pave,Lvl,Inside,SWISU,Norm,Norm,1Fam,Fin,4,3,1928,1950,Gable,CompShg,WdShing,None,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,0.0,1122.0,GasA,Y,1981,1.0,0.0,2,0,4,1,Gd,7,Min2,2,Detchd,2,TA,Y,431,44,0,0,0,0,2009,50,Reg,135000,0,4,1.0,475
2351,16692,Pave,Lvl,Inside,,RRA,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,LwQ,469.0,1392.0,GasA,Y,2784,1.0,0.0,3,1,5,1,Gd,12,Typ,2,Attchd,2,TA,Y,0,112,0,0,440,2000,2006,60,IR1,250000,1,6,1.0,552
330,1476,Pave,Lvl,Inside,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,None,TA,TA,CBlock,TA,TA,No,GLQ,176.0,Unf,0.0,546.0,GasA,Y,1092,0.0,0.0,1,1,3,1,TA,5,Typ,0,None,0,,Y,200,26,0,0,0,0,2010,160,Reg,76000,0,6,0.0,226
2586,10170,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,216.0,GasA,Y,1575,0.0,0.0,1,1,2,1,Gd,5,Typ,1,Attchd,2,TA,Y,0,0,0,0,0,0,2006,20,Reg,155000,0,6,0.0,0
224,9364,Pave,Lvl,Corner,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,ALQ,371.0,Unf,0.0,663.0,GasA,Y,1352,0.0,0.0,1,1,4,1,TA,7,Typ,0,Attchd,1,TA,Y,379,36,0,0,0,0,2010,60,Reg,158000,0,6,0.0,415
98,2544,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,42.0,600.0,GasA,Y,1200,1.0,0.0,2,1,2,1,Gd,4,Typ,0,Detchd,2,TA,Y,0,172,0,0,0,0,2010,160,Reg,149500,0,6,1.0,172
2565,9888,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1975,Gable,CompShg,MetalSd,None,TA,Gd,CBlock,TA,TA,No,BLQ,486.0,Unf,0.0,936.0,GasA,Y,936,0.0,0.0,1,0,2,1,TA,5,Typ,0,Attchd,1,TA,Y,0,0,160,0,0,0,2006,20,Reg,121000,0,6,0.0,160
1934,7942,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,7,1953,1953,Hip,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,85.0,ALQ,955.0,1040.0,GasA,Y,1040,0.0,1.0,1,0,3,1,TA,6,Typ,0,Attchd,1,TA,Y,0,0,0,0,0,0,2007,20,Reg,136000,0,6,0.5,0
997,15038,Pave,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,5,1996,1996,Gable,CompShg,HdBoard,None,TA,TA,PConc,Gd,TA,No,Rec,138.0,Unf,0.0,916.0,GasA,Y,1636,0.0,0.0,2,1,3,1,TA,7,Typ,1,Attchd,2,TA,Y,168,84,0,0,0,0,2008,60,IR2,173000,0,6,0.0,252
64,11764,Pave,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,524.0,Unf,0.0,1152.0,GasA,Y,2270,0.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,3,TA,Y,132,57,0,0,0,0,2010,60,IR1,290000,0,6,0.0,189
1799,9000,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,64.0,Unf,0.0,1184.0,GasA,Y,2610,0.0,0.0,2,1,4,1,Ex,11,Typ,1,BuiltIn,2,TA,Y,208,364,0,0,0,0,2007,60,Reg,303477,0,6,0.0,572
230,20062,Pave,Low,Inside,ClearCr,Norm,Norm,1Fam,1Story,7,7,1977,2001,Hip,CompShg,Wd Sdng,None,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,1092.0,Unf,0.0,1420.0,GasA,Y,1483,1.0,0.0,1,1,1,1,TA,4,Typ,2,Attchd,2,TA,Y,496,0,0,0,0,0,2010,20,IR1,270000,0,6,1.0,496
1295,7308,Pave,Lvl,Corner,OldTown,Artery,Norm,1Fam,Fin,5,5,1920,1950,Gable,CompShg,WdShing,None,Fa,Fa,BrkTil,TA,TA,No,Rec,360.0,Unf,0.0,936.0,GasA,N,1740,0.0,0.0,1,0,2,1,Ex,6,Typ,1,Detchd,1,Fa,N,0,0,236,0,0,0,2008,50,Reg,122250,0,6,0.0,236
638,8750,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,1955,Gable,CompShg,AsbShng,None,TA,TA,CBlock,TA,TA,No,Rec,172.0,LwQ,483.0,1382.0,GasA,Y,1382,0.0,1.0,1,0,3,1,Gd,6,Typ,0,Attchd,1,TA,Y,280,0,0,0,0,0,2009,20,Reg,153000,0,6,0.5,280
2278,8402,Pave,Lvl,Inside,Mitchel,RRA,Norm,1Fam,1Story,5,5,2007,2007,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,206.0,Unf,0.0,1120.0,GasA,Y,1120,0.0,0.0,1,0,3,1,TA,6,Typ,0,None,0,,Y,0,30,0,0,0,0,2007,20,Reg,147000,0,6,0.0,30
2202,4000,Pave,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,7,8,1930,1995,Gable,CompShg,Wd Sdng,None,TA,TA,BrkTil,Gd,TA,No,GLQ,246.0,Unf,0.0,531.0,GasA,Y,1098,1.0,0.0,1,0,2,1,TA,5,Typ,1,Detchd,1,TA,Y,0,0,0,0,0,0,2007,70,Reg,148500,0,6,1.0,0
