Id,lot_area,street,land_cont,lot_config,neighborhood,cond_1,cond_2,bldg_type,style,overall_qual,overall_cond,yr_built,yr_remodeled,roof_style,roof_mater,exter_1,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_expo,bsmt_fin_1,bsmt_fin_1_sf,bsmt_fin_2,bsmt_fin_2_sf,bsmt_sf,heat,cent_air,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedrooms_gr,kitchen,kitch_qual,tot_rooms_gr,functional,fireplaces,garage_type,garage_car_size,garage_cond,paved_drive,porch_1,porch_2,porch_3,porch_4,porch_5,misc_val,year_sold,ms_subclass,lot_shape,sale_price,has_pool,functional_mapped,bsmt_baths,porch_sf,full_bath_shift,half_bath_shift,bedrooms_gr_shift,fireplaces_shift,garage_car_size_shift,lot_area_scaled_mm,bsmt_fin_1_sf_scaled_mm,bsmt_fin_2_sf_scaled_mm,bsmt_sf_scaled_mm,gr_liv_area_scaled_mm,tot_rooms_gr_gr_liv_area,tot_rooms_gr_bedroom_gr,full_bath_gr_liv_area,gar_car_size_overall_qual,yr_built_overall_qual,bsmt_sf_gr_liv_area,functional_mapped_overall_qual,full_bath_gr_liv_area_log,tot_rooms_gr_bedroom_gr_log,lot_area_scaled_mm_log,gr_liv_area_scaled_mm_log,bsmt_fin_1_sf_scaled_mm_log,bsmt_fin_2_sf_scaled_mm_log,bsmt_sf_scaled_mm_log,bedrooms_gr_shift_log,tot_rooms_gr_log,tot_rooms_gr_gr_liv_area_log,lot_area_log,gr_liv_area_log
1044,1680,Pave,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,483.0,GasA,Y,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,Detchd,1,TA,Y,0,0,0,0,0,0,2008,160,Reg,85400,0,6,0.0,0,2,2,3,1,2,1.002409638554217,1.176873857404022,1.0,1.1506550218340612,1.187320711417097,3948,12,1974,12,11826,1470.0,36,7.587817219993427,2.4849066497880004,0.0024067400305650593,0.17169926566876617,0.1628616495559648,0.0,0.14033136442717742,1.0986122886681098,1.3862943611198906,8.280964400553373,7.426549072397305,6.894670039433482
2752,7488,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,1208.0,GasA,Y,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Attchd,2,TA,Y,105,58,0,0,0,0,2006,20,IR1,183600,0,6,0.0,163,3,1,3,1,3,1.0392390615091947,1.179616087751371,1.0,1.3767935121646913,1.2507171543316122,7248,18,3624,21,14035,2416.0,42,8.19533366716287,2.8903717578961645,0.03848877372518607,0.22371711026311383,0.165189036176742,0.0,0.3197572536471835,1.0986122886681098,1.791759469228055,8.888480847722816,8.921057018157429,7.0967213784947605
807,26400,Pave,Bnk,FR2,SawyerW,RRA,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,None,Gd,TA,PConc,None,None,,None,0.0,None,0.0,0.0,GasA,Y,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,Attchd,2,TA,P,0,0,0,0,0,0,2009,70,Reg,131000,0,3,0.0,0,2,1,5,2,3,1.159162967660114,1.0,1.0,1.0,1.4825014343086633,14112,35,4032,15,9400,2016.0,15,8.302017809751204,3.5553480614894135,0.14769816505105687,0.3937308193824716,0.0,0.0,0.0,1.6094379124341003,1.9459101490553132,9.554780778246572,10.181119289134408,7.60887062919126
1177,2645,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,960.0,GasA,Y,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Detchd,2,TA,Y,169,0,0,0,0,0,2008,160,Reg,200000,0,6,1.0,169,3,2,4,1,3,1.0085288522511098,1.3715722120658136,1.0,1.2994385527136618,1.3651749856569133,11249,28,4821,24,15992,2567.0,48,8.480736654405622,3.332204510175204,0.008492687076878596,0.3112826150411442,0.3159576818984953,0.0,0.261932288651419,1.3862943611198906,1.9459101490553132,9.328034514792826,7.8804263442924,7.382124365737512
1480,9627,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1351.0,GasA,Y,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,2,TA,Y,0,50,0,0,0,0,2008,20,Reg,193000,0,6,0.0,50,3,1,4,1,3,1.0528027901077996,1.0109689213893966,1.0,1.4213973799126638,1.2946069994262766,8166,24,4083,21,14049,2712.0,42,8.314587291319576,3.1780538303479458,0.05145593176378511,0.25820717374703495,0.01090919910035353,0.0,0.3516404580943843,1.3862943611198906,1.791759469228055,9.007734471879521,9.172326929777967,7.215975002651466
324,10114,Pave,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,GasA,Y,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2,TA,Y,0,0,0,0,0,0,2010,20,Reg,173500,0,6,0.0,0,3,1,4,1,3,1.0558909321496512,1.0,1.0,1.4460386774797256,1.3144004589787723,10010,28,4290,15,10020,2860.0,30,8.364042011922063,3.332204510175204,0.05438489600072146,0.2733806369334747,0.0,0.0,0.3688278712901441,1.3862943611198906,1.9459101490553132,9.211339872309265,9.221675881639928,7.265429723253953
1311,4571,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,GasA,N,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,Detchd,3,Fa,Y,0,0,96,0,0,0,2008,70,Reg,98000,0,6,0.0,96,2,1,5,1,4,1.0207419150285353,1.0,1.0,1.1946350592638801,1.2897303499713137,9408,35,2688,20,9580,1968.0,30,7.89655270164304,3.5553480614894135,0.020529730567551648,0.2544331654935607,0.0,0.0,0.17784074900519334,1.6094379124341003,1.9459101490553132,9.149315670138408,8.427487278331744,7.203405521083095
770,8816,Pave,Lvl,Corner,Sawyer,RRA,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,None,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,1121.0,GasA,Y,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,2,TA,Y,0,80,0,0,0,0,2009,20,Reg,139000,0,6,1.0,80,2,1,4,1,3,1.0476601141407738,1.2975319926873858,1.0,1.3496568933250157,1.2257601835915088,5605,20,2242,15,9815,2242.0,30,7.715123603632105,2.995732273553991,0.046559214728246034,0.20356120956405868,0.26046399293109945,0.0,0.2998504070553866,1.3862943611198906,1.6094379124341003,8.63141433550626,9.084323531392696,7.02197642307216
2063,8197,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,GasA,Y,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,Attchd,2,TA,Y,138,0,0,0,0,0,2007,20,Reg,143500,0,6,0.0,138,2,2,4,2,3,1.043734939759036,1.0,1.0,1.2058640049906426,1.2728055077452667,8995,28,2570,18,11862,1945.0,36,7.851661177889265,3.332204510175204,0.04280556810545095,0.2412235252989432,0.0,0.0,0.187196326598778,1.3862943611198906,1.9459101490553132,9.104424146384634,9.011523512653032,7.158513997329321
69,8640,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,756.0,GasA,Y,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Attchd,2,TA,Y,169,45,0,0,0,0,2010,60,Reg,215200,0,6,0.0,214,3,2,4,1,3,1.046544071020926,1.0109689213893966,1.0,1.2358078602620086,1.3479632816982214,10829,28,4641,21,14063,2303.0,42,8.442685139241176,3.332204510175204,0.04549337479400382,0.2985947730228495,0.01090919910035353,0.0,0.2117248940889979,1.3862943611198906,1.9459101490553132,9.28998299962838,9.064157861798101,7.344072850573066
2062,8724,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,None,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,894.0,GasA,Y,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Attchd,2,TA,Y,0,0,0,0,0,0,2007,20,Reg,129000,0,6,0.0,0,2,1,4,2,3,1.0470767279644895,1.2248628884826325,1.0,1.2788521522145977,1.1606425702811245,4470,20,1788,15,9840,1788.0,30,7.488852955733459,2.995732273553991,0.046002212836990825,0.14897379164772453,0.2028289099630305,0.0,0.24596291952290095,1.3862943611198906,1.6094379124341003,8.405143687607614,9.07383312732152,6.795705775173514
351,5664,Pave,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,1501.0,GasA,Y,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Attchd,2,TA,Y,212,59,0,0,0,0,2009,120,IR1,278000,0,6,1.0,271,3,1,3,2,3,1.0276727964489538,1.5292504570383914,1.0,1.4681846537741734,1.3800917957544463,8295,15,4977,24,16000,3160.0,48,8.512582578858554,2.70805020110221,0.027296824975448757,0.3221500156194874,0.42477771800489755,0.0,0.384026708231644,1.0986122886681098,1.6094379124341003,9.023408202624545,8.641885635373555,7.413970290190444
2393,12867,Pave,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,None,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,GasA,Y,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Attchd,2,TA,Y,243,142,0,0,0,0,2006,60,IR1,344133,0,6,0.0,385,3,2,4,2,3,1.0733481293595435,1.0,1.0,1.377105427323768,1.5504876649454964,18024,32,6759,24,16040,3462.0,48,8.818630229100354,3.4657359027997265,0.07078285591078048,0.4385695039933425,0.0,0.0,0.31998377986856213,1.3862943611198906,2.0794415416798357,9.79945948211208,9.46242117318499,7.720017940432244
12,7980,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,1168.0,GasA,Y,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,Attchd,2,TA,Y,483,21,0,0,0,500,2010,20,IR1,185000,0,6,1.0,504,3,1,4,1,3,1.0423589093214964,1.4273308957952469,1.0,1.364316905801622,1.24469305794607,7122,24,3561,18,11952,2355.0,36,8.177796683277778,3.1780538303479458,0.041486326751361186,0.21888895971838446,0.3558061937412068,0.0,0.3106538680672149,1.3862943611198906,1.791759469228055,8.870943863837724,8.984693690443855,7.079184394609668
2339,34650,Pave,Bnk,Inside,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,1056.0,GasA,N,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,Attchd,2,TA,Y,264,0,0,0,0,0,2006,190,Reg,145000,0,6,1.0,264,2,1,4,1,3,1.2114774889029805,1.482632541133455,1.0,1.329382407985028,1.2071141709695925,5280,20,2112,15,9775,2112.0,30,7.655390644826152,2.995732273553991,0.19184067992391635,0.18823252833757945,0.3938192516934316,0.0,0.28471447948906414,1.3862943611198906,1.6094379124341003,8.571681376700306,10.453053004618049,6.962243464266207
624,10573,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,1453.0,GasA,Y,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,Attchd,2,TA,Y,0,49,0,0,288,0,2009,20,IR1,187500,0,6,1.0,337,3,1,4,2,3,1.0588015218769817,1.59963436928702,1.0,1.4532127261384904,1.3209982788296042,8718,24,4359,18,11766,2906.0,36,8.379997952238393,3.1780538303479458,0.05713762872997801,0.27838772260944106,0.4697750839356332,0.0,0.3737767786472985,1.3862943611198906,1.791759469228055,9.073145132798338,9.266058860732526,7.2813856635702825
86,8450,Pave,Lvl,Inside,Sawyer,RRA,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,894.0,GasA,Y,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Detchd,1,TA,Y,416,144,0,0,0,0,2010,20,Reg,138500,0,6,1.0,560,2,1,4,2,2,1.0453392517438174,1.2527422303473492,1.0793758480325644,1.2788521522145977,1.1606425702811245,4470,20,1788,10,9825,1788.0,30,7.488852955733459,2.995732273553991,0.04434147554874735,0.14897379164772453,0.225334932760914,0.07638295558850487,0.24596291952290095,1.3862943611198906,1.6094379124341003,8.405143687607614,9.041921720351219,6.795705775173514
1534,11700,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,Fin,5,6,1937,1995,Gable,CompShg,WdShing,None,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,942.0,GasA,Y,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Detchd,1,TA,Y,0,40,0,0,0,0,2008,50,IR1,198000,0,4,0.0,40,3,1,5,2,2,1.0659480025364616,1.276965265082267,1.0,1.2938240798502807,1.4601262191623636,13566,35,5814,10,9685,2880.0,20,8.668024081118821,3.5553480614894135,0.0638645464455772,0.3785228834646021,0.2444863762750353,0.0,0.2576022361799197,1.6094379124341003,1.9459101490553132,9.515321941506025,9.367344120785848,7.569411792450712
2243,8250,Pave,Lvl,Inside,IDOTRR,RRA,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,None,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,GasA,N,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,None,0,,N,0,0,133,0,0,0,2007,190,Reg,119600,0,6,0.0,133,3,1,5,1,1,1.0440710209258086,1.0,1.0,1.2985028072364317,1.4753298909925414,17919,45,5973,5,9475,2948.0,30,8.695004592732307,3.8066624897703196,0.0431275148533807,0.38888161969494983,0.0,0.0,0.2612119140254772,1.6094379124341003,2.1972245773362196,9.793616881400416,9.017968479328726,7.596392304064196
1957,8064,Pave,Lvl,Corner,NAmes,Artery,Norm,1Fam,Fin,5,7,1949,2006,Gable,CompShg,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,GasA,Y,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Detchd,2,TA,Y,0,0,0,0,0,2000,2007,50,Reg,122900,0,6,0.0,0,2,1,4,2,3,1.0428915662650602,1.0,1.0,1.2096069868995634,1.1692484222604704,5544,24,1848,15,9745,1596.0,30,7.521859252201629,3.1780538303479458,0.041997207301573414,0.15636116826264918,0.0,0.0,0.19029550263309888,1.3862943611198906,1.791759469228055,8.620471540869739,8.99516499031115,6.828712071641684
380,9600,Pave,Lvl,Inside,,Fa,Norm,1Fam,1Story,8,5,1981,1981,Hip,Other,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,2524.0,GasA,Y,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,2,TA,Y,474,120,0,0,0,0,2009,20,Reg,278000,0,6,1.0,594,3,2,5,2,3,1.0526315789473684,1.5045703839122486,1.0,1.7872738615096693,1.6282271944922546,22716,45,7572,24,15848,5048.0,48,8.932212512329214,3.8066624897703196,0.05129329438755048,0.48749181219996696,0.4085073982550886,0.0,0.5806914765392869,1.6094379124341003,2.1972245773362196,10.030824800997323,9.169518377455928,7.8336002236611035
2860,11435,Pave,HLS,Corner,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,None,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,GasA,Y,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Detchd,2,TA,Y,0,0,0,0,0,0,2006,70,IR1,230000,0,6,0.0,0,2,1,4,3,3,1.0642675967025998,1.0,1.0,1.247036805988771,1.3393574297188755,10619,28,3034,24,15432,2309.0,48,8.017637159908478,3.332204510175204,0.06228685995880146,0.2921899688909708,0.0,0.0,0.22077018189084713,1.3862943611198906,1.9459101490553132,9.270400128403846,9.344434106456882,7.324489979348532
2517,9549,Pave,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,1494.0,GasA,Y,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Attchd,2,TA,Y,0,30,0,0,216,0,2006,120,IR1,270000,0,6,1.0,246,2,2,3,2,3,1.0523081800887761,1.1997257769652652,1.7170963364993215,1.4660012476606363,1.3327596098680436,8964,18,2988,24,15960,2988.0,48,8.002359546252707,2.8903717578961645,0.05098601826741592,0.28725168725038824,0.18209301148385237,0.5406346877958421,0.3825384545286517,1.0986122886681098,1.791759469228055,9.100971834920818,9.164191715950203,7.309212365692763
1933,10950,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,948.0,GasA,Y,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,2,TA,N,0,48,0,0,0,0,2007,20,Reg,125000,0,6,0.0,48,2,1,3,1,3,1.0611921369689283,1.2015539305301646,1.0,1.295695570804741,1.1761331038439473,4740,15,1896,18,11712,1896.0,36,7.547501682814967,2.70805020110221,0.059392933688342905,0.16223202661243302,0.18361566118800943,0.0,0.2590476712665593,1.0986122886681098,1.6094379124341003,8.463792414689122,9.301094735244646,6.854354502255021
